id,createdAt,updatedAt,name,slug,maxAdmin,maxUsers,maxTeams,maxNudges,maxRecipients,allTemplates,customTemplates,nudgeHistory,stats,dataExport,branding,support,colour,priceMonthly,priceYearly,stripeMonthlyId,stripeYearlyId,description,features,headline,icon,popular,iconClassname,stripeMonthlyLookup,stripeYearlyLookup,level
3c7bf2c5-bf4b-4696-ae28-8d8288c102cf,2025-09-12T01:51:32.107Z,2025-10-03T13:09:27.749Z,Growth,growth,0,25,10,0,0,true,true,0,true,true,true,PRIORITYANDMANAGER,default,2900,2300,price_1SAUzgA2U6Kl9wPzbgImc8e9,price_1SAUzhA2U6Kl9wPzLQ86x4wV,For growing companies that need advanced tracking and collaboration,"Up to 25 users,10 teams,Unlimited nudges,Unlimited nudge recipients,Full template library + custom templates,Unlimited nudge history,Advanced stats & analytics dashboard,Data exports (CSV & JSON),Priority email support",Ideal for SMBs and scaling startups.,Crown,true,text-amber-500,growth_monthly,growth_yearly,3
b20804dd-6528-4a34-896a-bed45654aed2,2025-09-12T01:51:31.958Z,2025-10-02T23:02:37.131Z,Starter,starter,0,10,2,0,5,true,true,365,true,false,false,PRIORITYANDMANAGER,destructive,900,700,price_1SAUxxA2U6Kl9wPzpxpJuHyD,price_1SAUxwA2U6Kl9wPzon9ETiqn,For small teams that want simplicity without limits,"Up to 10 users,2 teams,Unlimited nudges,Unlimited nudge recipients,Full template library + create custom templates,1-year task history,Full stats & charts dashboard,Email support","Best for freelancers, consultancies, and small startup teams.",Rocket,false,text-red-500,starter_monthly,starter_yearly,2
82856ad8-83c5-4abb-81b4-6aa8154c3156,2025-09-12T01:51:32.254Z,2025-10-03T13:09:27.749Z,Scale,scale,0,100,0,0,0,true,true,0,true,true,true,PRIORITYANDMANAGER,secondary,4900,3900,price_1SAV1JA2U6Kl9wPzoNvlKRhY,price_1SAV1JA2U6Kl9wPz5hM574e8,For larger teams that need unlimited scale and enterprise features.,"Up to 100 users (contact us for custom enterprise plans),Unlimited teams,Unlimited nudges,Unlimited nudge recipients,Full template library + custom templates,Unlimited nudge history,Full analytics suite (team comparisons, overdue trends, more),Data exports (CSV, JSON, Excel),Priority support + dedicated success manager",For established companies ready to put recurring tasks on autopilot.,Building2,false,text-blue-500,scale_monthly,scale_yearly,4
c1468caf-dfba-4f9c-930e-250353a37c65,2025-09-12T01:51:31.780Z,2025-10-17T01:02:00.723Z,Free,free,1,3,1,3,1,false,false,60,false,false,false,PRIORITYANDMANAGER,outline,0,0,free_monthly,free_yearly,Perfect for solo founders or testing Nudgely with a small team,"1 admin + 2 members (3 total users),1 team,Up to 10 active nudges,Email reminders (1 recipient per nudge),5 ready-to-use templates,60-day task history,Basic dashboard (counts only),Community support",Great way to get started — stay free as long as you want!,Zap,false,text-gray-500,free_monthly,free_yearly,1
